jornal_url,journal,article_number,citation_number,impact_factor,most_cited,year,cited_by,Search_Keywords
/journal/39129/nano-hybrids,Nano Hybrids,56.0,231.0,,Green Synthesis of Silver Nanoparticles Using Local Honey,2013.0,27.0,cancer+nano
/journal/39334/nano-reviews,Nano Reviews,49.0,3400.0,,Potential toxicity of superparamagnetic iron oxide nanoparticles (SPION),2010.0,680.0,cancer+nano
/journal/39784/nano-express,Nano Express,277.0,774.0,1.9,Palladium-Nanoparticles Biohybrids in Applied Chemistry,2021.0,7.0,cancer+nano
/journal/47887/applied-nano,Applied Nano,37.0,45.0,1.0,How to select effective electrocatalysts: Nano or single atom?,2021.0,38.0,cancer+nano
/journal/69697/nano-select,Nano Select,245.0,730.0,3.0,"Synthesis of ZnO nanoparticles by two different methods & comparison of their structural, antibacterial, photocatalytic and optical properties",2020.0,37.0,cancer+nano
/journal/93297/nano-advances,Nano Advances,27.0,112.0,0.0,Recent Advances in Heteroatom-Doped Graphene Materials as Efficient Electrocatalysts towards the Oxygen Reduction Reaction,2016.0,33.0,cancer+nano
/journal/17392/micro-and-nano-letters,Micro and Nano Letters,2900.0,14700.0,0.9,"Recent advances in BiOX (X = Cl, Br and I) photocatalysts: synthesis, modification, facet effects and mechanisms",2014.0,515.0,cancer+nano
/journal/21365/environmental-science-nano,Environmental Science: Nano,1500.0,35200.0,7.0,"The Use of Metal Nanoparticles to Produce Yellow, Red and Iridescent Colour, from Bronze Age to Present Times in Lustre Pottery and Glass: Solid State Chemistry, Spectroscopy and Nanostructure",2009.0,115.0,cancer+nano
/journal/22391/journal-of-nano-research,Journal of Nano Research,1100.0,5000.0,1.0,Experimental investigation of viscosity and specific heat of silicon dioxide nanofluids,2007.0,241.0,cancer+nano
/journal/24727/nano-micro-letters,Nano-Micro Letters,1100.0,32400.0,19.2,Review on Zinc Oxide Nanoparticles: Antibacterial Activity and Toxicity Mechanism,2015.0,1800.0,cancer+nano
/journal/29728/international-nano-letters,International Nano Letters,357.0,8900.0,5.6,"Silver nanoparticles: mechanism of antimicrobial action, synthesis, medical applications, and toxicity effects",2012.0,1200.0,cancer+nano
/journal/30681/nano-communication-networks,Nano Communication Networks,281.0,6100.0,2.7,Nanocomposite for Solar Energy Application,2018.0,17.0,cancer+nano
/journal/31995/nano-hybrids-and-composites,Nano Hybrids and Composites,277.0,492.0,0.7,Electromagnetic wireless nanosensor networks,2010.0,430.0,cancer+nano
/journal/37522/materials-today-nano,Materials Today Nano,223.0,2300.0,9.6,Silver Nanoparticles: Novel Antimicrobial Agent Synthesized from an Endophytic Fungus Pestalotia sp. Isolated from Leaves of Syzygium cumini (L),2011.0,98.0,cancer+nano
/journal/37830/nano-biomedicine-and-engineering,Nano Biomedicine and Engineering,285.0,2000.0,1.9,Polymers of intrinsic microporosity for energy-intensive membrane-based gas separations,2018.0,125.0,cancer+nano
/journal/38167/nano-materials-science,Nano Materials Science,122.0,1900.0,10.1,"Synthesis, properties, and applications of graphene oxide/reduced graphene oxide and their nanocomposites",2019.0,443.0,cancer+nano
/journal/39203/micro-and-nano-engineering,Micro and Nano Engineering,129.0,519.0,3.2,30 years of microfluidics,2019.0,192.0,cancer+nano
/journal/41701/nano-research-applications,Nano Research & Applications,16.0,50.0,0.0,Nonlocal effects on thermal buckling properties of double-walled carbon nanotubes,2013.0,100.0,cancer+nano
/journal/43995/nano-reviews-experiments,Nano Reviews & Experiments,12.0,305.0,,"The Study of Structural, Physical and Electrochemical Activity of Zno Nanoparticles Synthesized by Green Natural Extracts of Sageretia Thea",2017.0,15.0,cancer+nano
/journal/47931/advances-in-nano-research,Advances in Nano Research,85.0,668.0,,Polyethylenimine-based nanocarriers in co-delivery of drug and gene: a developing horizon,2018.0,106.0,cancer+nano
/journal/59173/nano-optics-and-nanophotonics,Nano-optics and Nanophotonics,130.0,289.0,0.0,Quantum Dots for Quantum Information Technologies,2017.0,84.0,cancer+nano
/journal/65225/micronano-technologies,Micro/Nano Technologies,108.0,35.0,,Green Synthesis of Silver Nanoparticles Using Waste Tea Leaves,2020.0,5.0,cancer+nano
/journal/88232/nano-i-mikrosistemnaya-tekhnika,Nano - I Mikrosistemnaya Tekhnika,353.0,89.0,0.0,Actuating IPMC Tranducers with Feedback System Based on IPMC Sensor,2019.0,11.0,cancer+nano
/journal/108878/advanced-nano-research,Advanced Nano Research,11.0,22.0,0.8,Triboelectric Nanogenerators,2018.0,9.0,cancer+nano
/journal/12441/cancer,Cancer,43600.0,2400000.0,6.2,Reporting results of cancer treatment,1981.0,6700.0,cancer+nano
/journal/13910/cancers,Cancers,12300.0,132800.0,6.3,How sun exposure causes skin cancer: an epidemiological perspective,2004.0,50.0,cancer+nano
/journal/86928/cancer-prevention-cancer-causes,"Cancer Prevention, Cancer Causes",35.0,153.0,,Nanostructured MoS2-Based Advanced Biosensors: A Review,2018.0,150.0,cancer+nano
/journal/17638/acs-applied-nano-materials,ACS Applied Nano Materials,4600.0,41600.0,5.5,Optimization of myco-synthesized silver nanoparticles by response surface methodology employing Box-Behnken design,2019.0,49.0,cancer+nano
/journal/25361/inorganic-and-nano-metal-chemistry,Inorganic and Nano-Metal Chemistry,1200.0,2700.0,1.2,Drug resistance in cancer: an overview,2014.0,1200.0,cancer+nano
/journal/31360/journal-of-micro-and-nano-manufacturing,Journal of Micro and Nano-Manufacturing,258.0,1400.0,1.3,Microwedge Machining for the Manufacture of Directional Dry Adhesives,2013.0,64.0,cancer+nano
/journal/33873/international-journal-of-nano-and-biomaterials,International Journal of Nano and Biomaterials,300.0,755.0,0.1,Review: titanium and titanium alloy applications in medicine,2007.0,149.0,cancer+nano
/journal/36319/micro-and-nano-systems-letters,Micro and Nano Systems Letters,112.0,1000.0,2.0,RF power harvesting: a review on designing methodologies and applications,2017.0,83.0,cancer+nano
/journal/39511/journal-of-micro-nano-mechatronics,Journal of Micro-Nano Mechatronics,48.0,594.0,,A perching mechanism for micro aerial vehicles,2009.0,64.0,cancer+nano
/journal/48112/journal-of-nano-education-print,Journal of Nano Education (Print),166.0,771.0,,"Insight into the Trophic Ecology of Yellowfin Tuna, Thunnus albacares, from Compound‐Specific Nitrogen Isotope Analysis of Proteinaceous Amino Acids",2007.0,104.0,cancer+nano
/journal/57707/journal-of-nano-and-electronic-physics,Journal of Nano- and Electronic Physics,1400.0,1300.0,0.3,A Simple Approach on Synthesis of TiO2 Nanoparticles and its Application in dye Sensitized Solar Cells,2017.0,23.0,cancer+nano
/journal/89541/annual-review-of-nano-research,Annual Review of Nano Research,41.0,229.0,,ENVIRONMENTAL APPLICATION OF NANOTECHNOLOGY,2008.0,41.0,cancer+nano
/journal/12869/cancer-research,Cancer Research,53900.0,3400000.0,9.6,The detection of disease clustering and a generalized regression approach,1967.0,7200.0,cancer+nano
/journal/12910/lung-cancer,Lung Cancer,15400.0,188200.0,3.4,Reliability and validity of the Functional Assessment of Cancer Therapy-Lung (FACT-L) quality of life instrument,1995.0,560.0,cancer+nano
/journal/12943/cancer-letters,Cancer Letters,15100.0,509700.0,9.7,Photo-thermal tumor ablation in mice using near infrared-absorbing nanoparticles,2004.0,1500.0,cancer+nano
/journal/13159/bmc-cancer,BMC Cancer,13700.0,296700.0,4.6,Hypoxic enhancement of exosome release by breast cancer cells,2012.0,634.0,cancer+nano
/journal/14690/cancer-science,Cancer Science,5600.0,177100.0,6.7,Circulating microRNA in body fluid: a new potential biomarker for cancer diagnosis and prognosis,2010.0,978.0,cancer+nano
/journal/15532/nutrition-and-cancer,Nutrition and Cancer,4200.0,122600.0,2.6,"Fruit, vegetables, and cancer prevention: a review of the epidemiological evidence",1992.0,2500.0,cancer+nano
/journal/15775/cancer-medicine,Cancer Medicine,4300.0,56700.0,4.7,PD-1 as a potential target in cancer therapy,2013.0,302.0,cancer+nano
/journal/15827/cancer-investigation,Cancer Investigation,3500.0,64500.0,2.1,Role of tumor microenvironment in tumorigenesis,2017.0,670.0,cancer+nano
/journal/16132/journal-of-cancer,Journal of Cancer,4200.0,48200.0,4.4,Development of the proteasome inhibitor Velcade (Bortezomib),2004.0,514.0,cancer+nano
/journal/16306/cancer-cell,Cancer Cell,3200.0,518800.0,23.1,"Integrated genomic analysis identifies clinically relevant subtypes of glioblastoma characterized by abnormalities in PDGFRA, IDH1, EGFR, and NF1",2010.0,4700.0,cancer+nano
/journal/16944/cancer-nursing,Cancer Nursing,3400.0,62800.0,2.5,Development of a symptom distress scale,1978.0,528.0,cancer+nano
/journal/17128/molecular-cancer,Molecular Cancer,2700.0,155700.0,41.2,The complexity of NF-κB signaling in inflammation and cancer,2013.0,1800.0,cancer+nano
/journal/17422/bulletin-du-cancer,Bulletin Du Cancer,987.0,3100.0,2.3,Hommage au docteur Luc Sensébé,2020.0,78.0,cancer+nano
/journal/17840/cancer-discovery,Cancer Discovery,1700.0,140400.0,23.4,The cBio cancer genomics portal: an open platform for exploring multidimensional cancer genomics data,2012.0,8400.0,cancer+nano
/journal/18271/breast-cancer,Breast Cancer,2100.0,26100.0,3.3,Fluorescence navigation with indocyanine green for detecting sentinel lymph nodes in breast cancer,2005.0,488.0,cancer+nano
/journal/18831/cancer-epidemiology,Cancer Epidemiology,2000.0,29800.0,2.7,"The descriptive epidemiology of female breast cancer: an international comparison of screening, incidence, survival and mortality",2012.0,442.0,cancer+nano
/journal/18959/thoracic-cancer,Thoracic Cancer,2300.0,13800.0,3.1,"Esophageal cancer statistics in China, 2011: Estimates based on 177 cancer registries",2016.0,174.0,cancer+nano
/journal/19037/gastric-cancer,Gastric Cancer,1700.0,57300.0,7.4,Japanese classification of gastric carcinoma: 3rd English edition,2011.0,2500.0,cancer+nano
/journal/19582/cancer-control,Cancer Control,1800.0,29700.0,2.1,Overcoming multidrug resistance in cancer: an update on the clinical strategy of inhibiting p-glycoprotein,2003.0,747.0,cancer+nano
/journal/19727/cancer-biomarkers,Cancer Biomarkers,1600.0,19900.0,3.7,Hsa_circ_0001649: A circular RNA and potential novel biomarker for hepatocellular carcinoma,2016.0,350.0,cancer+nano
/journal/20492/familial-cancer,Familial Cancer,1300.0,22900.0,2.9,Attenuated familial adenomatous polyposis (AFAP). A review of the literature,2003.0,212.0,cancer+nano
/journal/20890/cancer-genetics,Cancer Genetics,1500.0,11200.0,1.2,Impact of reclassifying noninvasive follicular variant of papillary thyroid carcinoma on the risk of malignancy in The Bethesda System for Reporting Thyroid Cytopathology,2016.0,224.0,cancer+nano
/journal/21087/cancer-cytopathology,Cancer Cytopathology,1300.0,20300.0,3.7,Genetics of adult glioma,2012.0,556.0,cancer+nano
/journal/21684/cancer-imaging,Cancer Imaging,1300.0,30300.0,5.5,Diffusion-weighted magnetic resonance imaging and its application to cancer,2006.0,247.0,cancer+nano
/journal/25879/trends-in-cancer,Trends in Cancer,633.0,18100.0,12.0,Hypoxia-Inducible Factors: Master Regulators of Cancer Progression,2016.0,429.0,cancer+nano
/journal/26993/cancer-informatics,Cancer Informatics,664.0,7400.0,2.3,Vascular Endothelial Growth Factor (VEGF) and Its Receptor (VEGFR) Signaling in Angiogenesis: A Crucial Target for Anti- and Pro-Angiogenic Therapies,2011.0,673.0,cancer+nano
/journal/28378/genes-and-cancer,Genes and Cancer,543.0,23500.0,2.9,Analysis of gene expression data using BRB-ArrayTools,2007.0,444.0,cancer+nano
/journal/28711/hormones-and-cancer,Hormones and Cancer,327.0,6500.0,4.7,In utero exposure to diethylstilbestrol (DES) or bisphenol-A (BPA) increases EZH2 expression in the mammary gland: an epigenetic mechanism linking endocrine disruptors to breast cancer,2010.0,233.0,cancer+nano
/journal/29693/cancer-practice,Cancer Practice,553.0,11300.0,,Fatigue and quality of life outcomes of exercise during cancer treatment,2001.0,357.0,cancer+nano
/journal/29786/liver-cancer,Liver Cancer,334.0,9000.0,8.7,JSH Consensus-Based Clinical Practice Guidelines for the Management of Hepatocellular Carcinoma: 2014 Update by the Liver Cancer Study Group of Japan,2014.0,387.0,cancer+nano
/journal/30789/cancer-metabolism,Cancer & Metabolism,297.0,11200.0,5.0,Mitochondrial reactive oxygen species and cancer,2014.0,416.0,cancer+nano
/journal/30850/colorectal-cancer,Colorectal Cancer,286.0,449.0,0.7,Therapeutic challenges in colorectal surgery practice during COVID-19 outbreak: a case series,2020.0,78.0,cancer+nano
/journal/31328/cancer-communications,Cancer Communications,368.0,5000.0,9.2,Current cancer situation in China: good or bad news from the 2018 Global Cancer Statistics?,2019.0,646.0,cancer+nano
/journal/31528/cancer-microenvironment,Cancer Microenvironment,224.0,7600.0,6.0,Tumor-associated Macrophages (TAM) and Inflammation in Colorectal Cancer,2011.0,234.0,cancer+nano
/journal/31562/bladder-cancer,Bladder Cancer,335.0,2200.0,0.9,Bladder Cancer Molecular Taxonomy: Summary from a Consensus Meeting,2016.0,133.0,cancer+nano
/journal/32458/cancer-reports,Cancer Reports,467.0,1700.0,1.4,Paraneoplastic syndrome in neuroendocrine breast cancer: A case report,2019.0,78.0,cancer+nano
/journal/33379/prostate-cancer,Prostate Cancer,173.0,2400.0,1.8,"Global patterns of prostate cancer incidence, aggressiveness, and mortality in men of african descent",2013.0,135.0,cancer+nano
/journal/35748/cancer-biotherapy,Cancer Biotherapy,96.0,1300.0,,Saffron chemoprevention in biology and medicine: a review,1995.0,128.0,cancer+nano
/journal/35949/cancer-nanotechnology,Cancer Nanotechnology,136.0,3100.0,7.3,Gold nanoparticles for cancer radiotherapy: a review,2016.0,226.0,cancer+nano
/journal/36468/biomarkers-in-cancer,Biomarkers in Cancer,96.0,1900.0,6.6,Deep Sequencing of Serum Small RNAs Identifies Patterns of 5' tRNA Half and YRNA Fragment Expression Associated with Breast Cancer,2014.0,116.0,cancer+nano
/journal/37377/kidney-cancer,Kidney Cancer,126.0,347.0,0.6,Diagnostic Imaging for Solid Renal Tumors: A Pictorial Review,2018.0,36.0,cancer+nano
/journal/37903/nature-cancer,Nature Cancer,303.0,3900.0,14.7,The impact of the COVID-19 pandemic on cancer care,2020.0,182.0,cancer+nano
/journal/41755/skin-cancer,Skin Cancer,2200.0,708.0,0.0,Diagnosis of Malignant Melanoma by 5-S-Cysteinyldopa.,1995.0,26.0,cancer+nano
/journal/42089/nar-cancer,NAR Cancer,107.0,376.0,4.9,Combined cytotoxic chemotherapy and immunotherapy of cancer: modern times,2020.0,55.0,cancer+nano
/journal/42606/oral-cancer,Oral Cancer,21.0,20.0,0.5,Single nucleotide polymorphism rs17849071 G/T in the PIK3CA gene is inversely associated with oral cancer,2018.0,6.0,cancer+nano
/journal/48260/aging-and-cancer,Aging and Cancer,20.0,8.0,0.2,Neuroblastoma: Ornithine Decarboxylase and Polyamines are Novel Targets for Therapeutic Intervention,2012.0,10.0,cancer+nano
/journal/59545/pediatric-cancer,Pediatric Cancer,116.0,26.0,,Aging and immunotherapies: New horizons for the golden ages,2020.0,3.0,cancer+nano
/journal/60361/cancers-et-psys,Cancer(s) Et Psy(s),39.0,8.0,0.0,Le psychothérapeute au pays médicalisé des patients et des soignants,2019.0,2.0,cancer+nano
/journal/63381/cancers-review,Cancers Review,11.0,9.0,,Clinical Significance of Salivary Matrix Metalloproteinase-9 in Oral Precancerous Conditions and Oral Cancer,2014.0,2.0,cancer+nano
/journal/86375/focus-on-cancer,Focus on Cancer,35.0,22.0,,Epithelial-mesenchymal Transition---A Hallmark of Breast Cancer Metastasis,2013.0,105.0,cancer+nano
/journal/91098/cancer-hallmarks,Cancer Hallmarks,11.0,186.0,,Cancer: Palliative Care,1998.0,6.0,cancer+nano
/journal/104591/jmir-cancer,JMIR Cancer,216.0,1400.0,3.1,Cancer statistics in Iran: Towards finding priority for prevention and treatment,2017.0,5.0,cancer+nano
/journal/106919/the-cancer-press,The Cancer Press,31.0,13.0,,Pilot and Feasibility Test of a Mobile Health-Supported Behavioral Counseling Intervention for Weight Management Among Breast Cancer Survivors,2016.0,57.0,cancer+nano
/journal/135072/cancer-surveys,Cancer Surveys,588.0,10600.0,,Activation of programmed cell death by anticancer agents: cisplatin as a model system,1990.0,323.0,cancer+nano
/journal/138713/cancer-cells,Cancer Cells,136.0,5500.0,,Multidrug resistance,1986.0,163.0,cancer+nano
/journal/139653/cancer-immunity,Cancer Immunity,176.0,6100.0,,Cisplatin nephrotoxicity: molecular mechanisms,2003.0,200.0,cancer+nano
/journal/139888/cancer-therapy,Cancer Therapy,19.0,757.0,,"The cancer/testis genes: review, standardization, and commentary",2004.0,371.0,cancer+nano
/journal/32371/international-journal-of-smart-and-nano-materials,International Journal of Smart and Nano Materials,257.0,3100.0,3.5,"Developments in 4D-printing: a review on current smart materials, technologies, and applications",2019.0,129.0,cancer+nano
/journal/43539/world-journal-of-nano-science-and-engineering,World Journal of Nano Science and Engineering,139.0,2800.0,0.0,Modified Scherrer Equation to Estimate More Accurately Nano-Crystallite Size Using XRD,2012.0,980.0,cancer+nano
/journal/58784/journal-of-nano-energy-and-power-research,Journal of Nano Energy and Power Research,23.0,25.0,,Field Emission Properties of Metal Encapsulated and Metal-Oxide Dispersed Multi-Walled Carbon Nanotube Nanocomposites,2011.0,3.0,cancer+nano
/journal/94176/american-journal-of-nano-research-and-applications,American Journal of Nano Research and Applications,20.0,36.0,0.1,Different Methods Used for the Synthesis of TiO2 Based Nanomaterials: A Review,2018.0,10.0,cancer+nano
/journal/101936/international-journal-of-nano-studies-technology,International Journal of Nano Studies & Technology,40.0,30.0,,Efficiency Enhancement of Solar Cell Using Metamaterials,,11.0,cancer+nano
/journal/104844/international-journal-of-medical-nano-research,International Journal of Medical Nano Research,17.0,66.0,0.7,"Methotrexate-Loaded PLGA Nanoparticles: Preparation, Characterization and their Cytotoxicity Effect on Human Glioblastoma U87MG Cells",2017.0,12.0,cancer+nano
/journal/106356/international-journal-of-macro-and-nano-physics,International Journal of Macro and Nano Physics,15.0,2.0,,Thermodynamic and Ultraviolet Stabilities of Para-Azoxyanisole: A Nematic Liquid Crystal,2016.0,1.0,cancer+nano
/journal/12482/european-journal-of-cancer,European Journal of Cancer,32700.000000000004,544100.0,4.4,New response evaluation criteria in solid tumours: revised RECIST guideline (version 1.1),2009.0,15900.0,cancer+nano
/journal/12588/international-journal-of-cancer,International Journal of Cancer,26100.0,1200000.0,7.3,"Cancer incidence and mortality worldwide: sources, methods and major patterns in GLOBOCAN 2012",2015.0,19100.0,cancer+nano
/journal/12967/clinical-cancer-research,Clinical Cancer Research,19400.0,1300000.0,12.3,Triple-negative breast cancer: clinical features and patterns of recurrence,2007.0,2900.0,cancer+nano
/journal/13244/pediatric-blood-and-cancer,Pediatric Blood and Cancer,8800.0,145800.0,2.9,HLH-2004: Diagnostic and therapeutic guidelines for hemophagocytic lymphohistiocytosis,2007.0,3000.0,cancer+nano
/journal/13622/cancer-chemotherapy-and-pharmacology,Cancer Chemotherapy and Pharmacology,9000.0,197400.0,3.4,Determination of subcutaneous tumor size in athymic (nude) mice,1989.0,1200.0,cancer+nano
/journal/13659/cancer-genetics-and-cytogenetics,Cancer Genetics and Cytogenetics,8300.0,139500.0,,Chromosomes in Ewing's sarcoma. I. An evaluation of 85 cases of remarkable consistency of t(11;22)(q24;q12),1988.0,443.0,cancer+nano
/journal/13960/supportive-care-in-cancer,Supportive Care in Cancer,8000.0,155500.0,3.7,Symptom distress in advanced cancer patients with anxiety and depression in the palliative care setting,2009.0,663.0,cancer+nano
/journal/14436/cancer-immunology-immunotherapy,"Cancer Immunology, Immunotherapy",6100.0,149200.0,7.1,"Increased circulating myeloid-derived suppressor cells correlate with clinical cancer stage, metastatic tumor burden, and doxorubicin-cyclophosphamide chemotherapy",2009.0,939.0,cancer+nano
/journal/14790/breast-cancer-research,Breast Cancer Research,4500.0,215700.0,8.0,Phenotypic and molecular characterization of the claudin-low intrinsic subtype of breast cancer,2010.0,1400.0,cancer+nano
/journal/14914/molecular-cancer-therapeutics,Molecular Cancer Therapeutics,5300.0,260500.0,5.8,PD-L1 Expression as a Predictive Biomarker in Cancer Immunotherapy,2015.0,1200.0,cancer+nano
/journal/15335/cancer-biology-and-therapy,Cancer Biology and Therapy,4200.0,113700.0,4.4,Overview of cell death signaling pathways,2005.0,852.0,cancer+nano
/journal/15372/anti-cancer-drugs,Anti-Cancer Drugs,4300.0,72000.0,2.3,Development of a novel form of an oral 5-fluorouracil derivative (S-1) directed to the potentiation of the tumor selective cytotoxicity of 5-fluorouracil by two biochemical modulators,1996.0,625.0,cancer+nano
/journal/15380/cancer-causes-and-control,Cancer Causes and Control,4100.0,150700.0,2.7,"Vegetables, fruit, and cancer. I. Epidemiology",1991.0,1000.0,cancer+nano
/journal/15817/genes-chromosomes-and-cancer,Genes Chromosomes and Cancer,3900.0,139700.0,4.7,Optimizing comparative genomic hybridization for analysis of DNA sequence copy number changes in solid tumors,1994.0,1100.0,cancer+nano
/journal/15852/nature-reviews-cancer,Nature Reviews Cancer,2300.0,700900.0,30.2,The blockade of immune checkpoints in cancer immunotherapy,2012.0,7900.0,cancer+nano
/journal/16302/cancer-management-and-research,Cancer Management and Research,4300.0,31600.0,3.5,"Gastric cancer: epidemiology, prevention, classification, and treatment",2018.0,484.0,cancer+nano
/journal/16576/cancer-treatment-reviews,Cancer Treatment Reviews,3000.0,129700.0,14.0,PI3K/Akt signalling pathway and cancer,2004.0,1500.0,cancer+nano
/journal/16630/ca-a-cancer-journal-for-clinicians,Ca-A Cancer Journal for Clinicians,2500.0,418100.0,214.0,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2018.0,40300.0,cancer+nano
/journal/17069/journal-of-cancer-education,Journal of Cancer Education,2900.0,26200.0,1.7,Smartphone apps as a source of cancer information: changing trends in health information-seeking behavior,2013.0,152.0,cancer+nano
/journal/17205/molecular-cancer-research,Molecular Cancer Research,2800.0,112000.0,6.3,Reduced accumulation of specific microRNAs in colorectal neoplasia,2003.0,1100.0,cancer+nano
/journal/17827/cancer-cell-international,Cancer Cell International,3000.0,39800.0,6.2,Acidic extracellular microenvironment and cancer,2013.0,759.0,cancer+nano
/journal/17908/cancer-gene-therapy,Cancer Gene Therapy,2300.0,62900.0,5.2,Mechanisms of resistance to TRAIL-induced apoptosis in cancer,2005.0,566.0,cancer+nano
/journal/18035/clinical-lung-cancer,Clinical Lung Cancer,2200.0,32700.000000000004,4.8,Exosomal microRNA: a diagnostic marker for lung cancer,2009.0,1000.0,cancer+nano
/journal/18059/european-journal-of-cancer,European Journal of Cancer,2100.0,34800.0,,Establishment and characterization of a cell line of human breast carcinoma origin,1979.0,476.0,cancer+nano
/journal/18123/endocrine-related-cancer,Endocrine-Related Cancer,2300.0,97200.0,5.5,"Fibroblast growth factors, their receptors and signaling",2000.0,976.0,cancer+nano
/journal/18182/clinical-breast-cancer,Clinical Breast Cancer,2100.0,34700.0,2.9,Chimeric anti-CD20 (IDEC-C2B8) monoclonal antibody sensitizes a B cell lymphoma cell line to cell killing by cytotoxic drugs,1997.0,302.0,cancer+nano
/journal/18222/cancer-biotherapy-and-radiopharmaceuticals,Cancer Biotherapy and Radiopharmaceuticals,2000.0,27900.0,3.7,HER2 amplification ratios by fluorescence in situ hybridization and correlation with immunohistochemistry in a cohort of 6556 breast cancer tissues,2004.0,500.0,cancer+nano
/journal/18723/seminars-in-cancer-biology,Seminars in Cancer Biology,2100.0,121900.0,12.3,Matrigel: basement membrane matrix with biological activity,2005.0,1100.0,cancer+nano
/journal/18778/cancer-prevention-research,Cancer Prevention Research,2000.0,60000.0,3.1,Blood cell origin of circulating microRNAs: a cautionary note for cancer biomarker studies,2012.0,667.0,cancer+nano
/journal/18933/clinical-genitourinary-cancer,Clinical Genitourinary Cancer,1800.0,19500.0,3.2,"A Systematic Review of the Burden of Pancreatic Cancer in Europe: Real-World Impact on Survival, Quality of Life and Costs",2015.0,139.0,cancer+nano
/journal/19618/journal-of-gastrointestinal-cancer,Journal of Gastrointestinal Cancer,1700.0,8700.0,1.6,Potential histologic and molecular predictors of response to temsirolimus in patients with advanced renal cell carcinoma,2007.0,156.0,cancer+nano
/journal/19804/cancer-and-metastasis-reviews,Cancer and Metastasis Reviews,1600.0,117000.0,9.2,The distribution of secondary growths in cancer of the breast. 1889,1989.0,1700.0,cancer+nano
/journal/20862/clinical-colorectal-cancer,Clinical Colorectal Cancer,1200.0,19500.0,3.7,A review of the evolution of systemic chemotherapy in the management of colorectal cancer,2015.0,286.0,cancer+nano
/journal/21156/integrative-cancer-therapies,Integrative Cancer Therapies,1200.0,22700.0,2.9,"Plasminogen activators, tissue degradation, and cancer",1985.0,2000.0,cancer+nano
/journal/21751/advances-in-cancer-research,Advances in Cancer Research,1200.0,84500.0,5.7,Chemotherapy-associated oxidative stress: impact on chemotherapeutic effectiveness,2004.0,468.0,cancer+nano
/journal/21771/cancer-immunology-research,Cancer Immunology Research,1200.0,52400.0,11.9,Myeloid-Derived Suppressor Cells,2017.0,788.0,cancer+nano
/journal/22036/blood-cancer-journal,Blood Cancer Journal,1300.0,22700.0,6.7,'Acute myeloid leukemia: a comprehensive review and 2016 update',2016.0,522.0,cancer+nano
/journal/22425/journal-of-cancer-survivorship,Journal of Cancer Survivorship,1200.0,26800.0,4.9,Classification of weakly carcinogenic human papillomavirus types: addressing the limits of epidemiology at the borderline,2009.0,315.0,cancer+nano
/journal/23010/infectious-agents-and-cancer,Infectious Agents and Cancer,926.0,22800.0,3.3,An update of controlled physical activity trials in cancer survivors: a systematic review and meta-analysis,2010.0,898.0,cancer+nano
/journal/23338/current-problems-in-cancer,Current Problems in Cancer,929.0,11100.0,2.2,Role of curcumin in cancer therapy,2007.0,317.0,cancer+nano
/journal/24331/journal-of-breast-cancer,Journal of Breast Cancer,981.0,9600.0,3.0,Usefulness of pretreatment neutrophil to lymphocyte ratio in predicting disease-specific survival in breast cancer patients,2013.0,148.0,cancer+nano
